"filename", "language", "YAML", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Docker", "Properties", "Markdown", "SCSS", "JavaScript", "Shell Script", "Batch", "Less", "comment", "blank", "total"
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\ApiGateWay.csproj", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Program.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 25
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Properties\launchSettings.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.local.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\ApiGateWay.deps.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\ApiGateWay.runtimeconfig.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58
